"Plot","yr","Tratamiento","lrr_riq","lrr_cov","IE.annual","densidad","densidad_z","ie_anual_z"
"3",2017,"Partial",-0.0800427076735364,0.251314428280906,0.388131361593418,52.39,0.202061138971829,0.271460877444459
"3",2018,"Exclosure",0.441832752279039,0.395895657092014,0.347512707920366,56.909,0.995383716742198,0.703941794649428
"3",2018,"Partial",0.287682072451781,-0.0289875368732523,0.347512707920366,56.909,0.995383716742198,0.703941794649428
"3",2019,"Exclosure",0.22314355131421,-0.372675285285174,0.44793278418064,53.663,0.425539705358569,-0.365265644780038
"3",2019,"Partial",0,-0.251314428280906,0.44793278418064,53.663,0.425539705358569,-0.365265644780038
"3",2021,"Exclosure",-0.0741079721537218,-0.15684247149297,0.53254675693918,41.647,-1.68390134232648,-1.26618000894193
"3",2021,"Partial",0,-0.438254930931155,0.53254675693918,41.647,-1.68390134232648,-1.26618000894193
"3",2022,"Exclosure",-1.02961941718116,0.76865473306809,0.553068101469167,45.268,-1.04822507454456,-1.48467789358491
"3",2022,"Partial",-0.0741079721537218,-0.194156014440958,0.553068101469167,45.268,-1.04822507454456,-1.48467789358491
"3",2023,"Exclosure",-0.0689928714869514,0.212174519943636,0.335639398965508,50.07,-0.205221087278946,0.830361040062815
"3",2023,"Partial",-0.143100843640673,-0.0953101798043249,0.335639398965508,50.07,-0.205221087278946,0.830361040062815
"3",2024,"Exclosure",-0.207639364778244,-0.100804699121966,0.290557861155377,58.726,1.3143629430774,1.31035983515018
"3",2024,"Partial",0.0606246218164348,-0.398639143037764,0.290557861155377,58.726,1.3143629430774,1.31035983515018
"4",2017,"Exclosure",-0.182321556793955,0.321583624127462,0.388131361593418,52.39,0.202061138971829,0.271460877444459
"4",2017,"Partial",0,-0.0173917427118692,0.388131361593418,52.39,0.202061138971829,0.271460877444459
"4",2018,"Exclosure",0,0.545227050483323,0.347512707920366,56.909,0.995383716742198,0.703941794649428
"4",2018,"Partial",0.143100843640673,0,0.347512707920366,56.909,0.995383716742198,0.703941794649428
"4",2019,"Exclosure",-0.367724780125317,0.553000548816703,0.44793278418064,53.663,0.425539705358569,-0.365265644780038
"4",2019,"Partial",0,0,0.44793278418064,53.663,0.425539705358569,-0.365265644780038
"4",2021,"Exclosure",-0.575364144903562,0.249215791623985,0.53254675693918,41.647,-1.68390134232648,-1.26618000894193
"4",2021,"Partial",-0.207639364778244,0.278203328497237,0.53254675693918,41.647,-1.68390134232648,-1.26618000894193
"4",2022,"Exclosure",-0.451985123743057,-0.0923733201310152,0.553068101469167,45.268,-1.04822507454456,-1.48467789358491
"4",2022,"Partial",0.0870113769896297,0.211309093667207,0.553068101469167,45.268,-1.04822507454456,-1.48467789358491
"4",2023,"Exclosure",-0.0741079721537218,-0.186585955580412,0.335639398965508,50.07,-0.205221087278946,0.830361040062815
"4",2023,"Partial",0,-0.212561441983673,0.335639398965508,50.07,-0.205221087278946,0.830361040062815
"4",2024,"Exclosure",-0.53062825106217,-0.0289875368732523,0.290557861155377,58.726,1.3143629430774,1.31035983515018
"4",2024,"Partial",-0.0606246218164349,-0.137621377876048,0.290557861155377,58.726,1.3143629430774,1.31035983515018
"5",2017,"Exclosure",-0.154150679827258,0.45953232937844,0.388131361593418,52.39,0.202061138971829,0.271460877444459
"5",2017,"Partial",-0.241162056816888,0.45953232937844,0.388131361593418,52.39,0.202061138971829,0.271460877444459
"5",2018,"Exclosure",0.287682072451781,0.624154309072994,0.347512707920366,56.909,0.995383716742198,0.703941794649428
"5",2018,"Partial",0,0.382992252256106,0.347512707920366,56.909,0.995383716742198,0.703941794649428
"5",2019,"Exclosure",0.105360515657826,0.473784352085642,0.44793278418064,53.663,0.425539705358569,-0.365265644780038
"5",2019,"Partial",-0.117783035656384,0.510825623765991,0.44793278418064,53.663,0.425539705358569,-0.365265644780038
"5",2021,"Exclosure",-0.367724780125317,0.525010258757947,0.53254675693918,41.647,-1.68390134232648,-1.26618000894193
"5",2021,"Partial",-0.485507815781701,0.287682072451781,0.53254675693918,41.647,-1.68390134232648,-1.26618000894193
"5",2022,"Exclosure",-0.451985123743057,0.58451333955715,0.553068101469167,45.268,-1.04822507454456,-1.48467789358491
"5",2022,"Partial",0,0.551176919289558,0.553068101469167,45.268,-1.04822507454456,-1.48467789358491
"5",2023,"Exclosure",-0.485507815781701,0.63252255874351,0.335639398965508,50.07,-0.205221087278946,0.830361040062815
